precision,recall,f1,accuracy,specificity,fpr,fnr,tp,fp,fn,tn,name
0.9984785679907785,0.9990834809082861,0.9987809278579755,0.9976043701170353,0.9156626505945297,0.08433734939686457,0.0009165190915585615,64315,98,59,1064,2010_img002_p0003
0.9999999999998475,0.9999999999998475,0.9999999949998475,0.9999999999998475,0.0,0.0,0.0,65536,0,0,0,2010_img002_p0006
0.9999999999998475,0.9999999999998475,0.9999999949998475,0.9999999999998475,0.0,0.0,0.0,65536,0,0,0,2010_img002_p0007
0.9914857530527491,0.9929509282691569,0.9922177947673019,0.9860076904295371,0.9246585622078274,0.07534143779067186,0.007049071730673305,58458,502,415,6161,2010_img002_p0012
0.991767058151286,0.996118602021534,0.9939380622536329,0.9890136718748491,0.9219620958736711,0.07803790412473637,0.003881397978297268,59027,490,230,5789,2010_img002_p0014
0.9945881535175357,0.9952305246421246,0.9949092303918249,0.9906158447264114,0.9365295031037723,0.06347049689428674,0.004769475357709862,60096,327,288,4825,2010_img002_p0016
0.9913287780512311,0.9855007499610391,0.9884061679994836,0.9795379638670381,0.9336253816528162,0.0663746183458564,0.014499250038788597,57162,500,841,7033,2010_img002_p0027
0.9909267437662621,0.9922225854739591,0.9915742362516586,0.9850463867185998,0.928831378890782,0.0711686211078701,0.007777414525868889,57665,528,452,6891,2010_img002_p0028
0.9928523714093199,0.9959793607181874,0.9944134028210752,0.989807128906099,0.9267624914426305,0.07323750855565839,0.004020639281645109,59452,428,240,5416,2010_img002_p0029
0.9979742059194944,0.9991020698835789,0.998537814416677,0.9971160888670354,0.8610816542856725,0.13891834570372302,0.0008979301162663295,64535,131,58,812,2010_img002_p0037
0.9936766034325407,0.9981851179671705,0.9959257532615216,0.9923095703123487,0.8974895397466071,0.10251046025077795,0.0018148820326675825,61600,392,112,3432,2010_img002_p0040
0.9946037919298341,0.9976269037594074,0.9961130491330772,0.9926910400389111,0.9170196860181485,0.08298031397935964,0.0023730962404300226,61377,333,146,3680,2010_img002_p0041
0.9998776571339655,0.9998470760947823,0.9998623613805419,0.9997253417967225,0.944444444378858,0.05555555555169753,0.00015292390506481635,65382,8,10,136,2010_img002_p0046
0.9847106670940169,0.9812827929501915,0.9829937366293845,0.9691925048826646,0.850790513832591,0.14920948616576218,0.018717207049640337,58351,906,1113,5166,2010_img003_p0004
0.9884767376214612,0.9853681144066166,0.9869199731169226,0.9759216308592261,0.8644531249983116,0.13554687499973525,0.014631885593217918,59532,694,884,4426,2010_img003_p0006
0.9750076913330483,0.9750606290945497,0.9750341544952584,0.9579010009764164,0.8656876094136687,0.13431239058535857,0.024939370905269313,53876,1381,1378,8901,2010_img004_p0000
0.9796865203760001,0.9733746240231774,0.9765203678170763,0.9598693847654786,0.8787036046626604,0.12129639533626986,0.026625375976644664,54691,1134,1496,8215,2010_img004_p0001
0.9824231452022248,0.9811814271919633,0.981801888586578,0.9683837890623522,0.8833274997072881,0.11667250029154512,0.018818572807861176,55893,1000,1072,7571,2010_img004_p0008
0.9736173814896704,0.9764414573751369,0.9750273695185767,0.956848144531104,0.8337038683850225,0.1662961316138658,0.02355854262468632,55208,1496,1332,7500,2010_img004_p0012
0.996322684440195,0.9908247893944703,0.9935661263293782,0.9880065917967242,0.9477124182984414,0.05228758169922435,0.009175210605366491,60690,224,562,4060,2010_img005_p0003
0.9939897760863327,0.9924175716660157,0.9932030466909185,0.9872894287107868,0.9125890736320367,0.0874109263655881,0.007582428333821286,60861,368,465,3842,2010_img005_p0009
0.9965625201728429,0.9926377212298876,0.9945962437818007,0.9897613525389115,0.9359783588790623,0.064021641117932,0.007362278769951718,61751,213,458,3114,2010_img005_p0010
0.9967795436611764,0.9929104178360747,0.9948412138221786,0.9902038574217239,0.9373237229679182,0.06267627702894805,0.007089582163765003,61903,200,442,2991,2010_img005_p0012
0.9945636719467082,0.9880190764218435,0.9912805671810799,0.9840393066404749,0.9393317155106602,0.060668284487473086,0.011980923577990332,59458,325,721,5032,2010_img005_p0013
0.9950918044547182,0.991341499073883,0.9932131065522146,0.9872741699217243,0.9243338360962184,0.0756661639012678,0.008658500925954602,61025,301,533,3677,2010_img005_p0021
0.9864384354583666,0.9819400085606366,0.9841840767773189,0.9707489013670394,0.8289528577371111,0.171047142260803,0.018059991439198897,59645,820,1097,3974,2010_img006_p0003
0.9846020790583214,0.9858057286447551,0.9852035312189309,0.9733886718748516,0.8632324145189588,0.1367675854795349,0.0141942713550751,58061,908,836,5731,2010_img007_p0001
